code,image_path,source_pdf,page,match_type,confidence,notes
CP0-110,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-110.png,dors-listino-260401.pdf,55,direct_single_column,high,direct code-under-drawing crop
CP0-120,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-120.png,dors-listino-260401.pdf,55,direct_single_column,high,direct code-under-drawing crop
CP0-130,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-130.png,dors-listino-260401.pdf,56,direct_single_column,high,direct code-under-drawing crop
CP0-140,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-140.png,dors-listino-260401.pdf,56,direct_single_column,high,direct code-under-drawing crop
CP0-150,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-150.png,dors-listino-260401.pdf,56,direct_single_column,high,direct code-under-drawing crop
CP0-160,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-160.png,dors-listino-260401.pdf,56,direct_single_column,high,direct code-under-drawing crop
CP0-170,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-170.png,dors-listino-260401.pdf,57,direct_single_column,high,direct code-under-drawing crop
CP0-180,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-180.png,dors-listino-260401.pdf,57,direct_single_column,high,direct code-under-drawing crop
LB0-010,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LB0-010.png,dors-general-catalogue-250605.pdf,8,hero_single_code_page,medium_high,single-code hero/page image fallback
LC0-010,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-010.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-020,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-020.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-030,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-030.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-040,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-040.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-050,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-050.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-060,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-060.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-070,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-070.png,dors-general-catalogue-250605.pdf,12,direct_grid,high,direct code-under-drawing crop
LC0-080,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-080.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-090,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-090.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-100,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-100.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-110,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-110.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-120,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-120.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-130,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-130.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-140,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-140.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-150,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-150.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-160,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-160.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-170,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-170.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-180,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-180.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-190,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-190.png,dors-listino-260401.pdf,29,direct_grid,high,direct code-under-drawing crop
LC0-200,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-200.png,dors-listino-260401.pdf,30,direct_grid,high,direct code-under-drawing crop
LC0-210,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-210.png,dors-listino-260401.pdf,30,direct_grid,high,direct code-under-drawing crop
LC0-220,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-220.png,dors-listino-260401.pdf,30,direct_grid,high,direct code-under-drawing crop
